"Org_Name","Org_Cat_Description","Catorg_ID","Typorg_ID","Org_ID","A_Infotype","X_index","X_parent_index","Need","Value"
"Bratislavsk‡ kynologick‡ z‡chran‡rska brig‡da ( Bratislava K9 rescue corps )","",16,162,1621,21,60,-1,"CC1_info_needs_EMDECLA","1"
"Not Defined","Independent, member of ASP UNOCHA, NORCAP, CANADEM",13,131,,23,61,-1,"CC1_info_needs_EMDECLA",
"Not Defined","",15,152,1521,21,62,-1,"CC1_info_needs_EMDECLA","1"
"German Federal Agency for Technical Relief","",16,162,1621,23,63,-1,"CC1_info_needs_EMDECLA",
"Department of Disaster Prevention and Mitigation (DDPM Thailand)","Disater Management Center, Government organization",18,183,1831,23,64,-1,"CC1_info_needs_EMDECLA",
"OCHA Rolac","",15,152,1521,23,65,-1,"CC1_info_needs_EMDECLA",
"Nus / ihp","",18,183,1834,22,66,-1,"CC1_info_needs_EMDECLA",
"OCHA","",15,152,1521,23,67,-1,"CC1_info_needs_EMDECLA",
"Kompass Coaching Villa & Co","- Consulting and Coaching for organization working in Disaster Relief/Humanitarian Needs; - Life Coaching",,,,23,68,-1,"CC1_info_needs_EMDECLA",
"CIVIL PROTECTION DIRECTORATE","",18,183,1831,23,69,-1,"CC1_info_needs_EMDECLA",
"@Fire","",,,,21,70,-1,"CC1_info_needs_EMDECLA",
"THW","",15,153,,21,71,-1,"CC1_info_needs_EMDECLA","1"
"New Zealand Fire Service/ NZ USAR","",18,183,1831,21,72,-1,"CC1_info_needs_EMDECLA","1"
"Infinitum Humanitarian Systems (IHS)","",12,121,,23,73,-1,"CC1_info_needs_EMDECLA",
"Hellenic Fire Service","",18,183,1831,21,74,-1,"CC1_info_needs_EMDECLA","0"
"National Earthquake Response Support Service of China","Emergency Management Division",18,183,1831,23,75,-1,"CC1_info_needs_EMDECLA",
"MERCY Malaysia","",16,162,1622,21,76,-1,"CC1_info_needs_EMDECLA","1"
"Amity Public Safety Academy","",16,161,1612,23,77,-1,"CC1_info_needs_EMDECLA",
"Directorate General of the the Lebanese civil defense","",18,183,1831,23,78,-1,"CC1_info_needs_EMDECLA",
"District Development Committee ,Sindhupalchok  Nepal","Govt. of Nepal , Ministry of Federal Affairs and Local Development",18,182,,23,79,-1,"CC1_info_needs_EMDECLA",
"European Commission (ECHO)","",11,112,1122,21,80,-1,"CC1_info_needs_EMDECLA","1"
"MoFA Italy - Agency for Cooperation","",11,112,1121,23,81,-1,"CC1_info_needs_EMDECLA",
"INTERSOS","",16,162,1623,21,82,-1,"CC1_info_needs_EMDECLA","1"
"Ministry of Emergency Situation of the Republic of Azerbaijan","",18,183,1831,21,83,-1,"CC1_info_needs_EMDECLA","1"
"Liberia Refugee Repatriation and resettlement Commission(LRRRC)","Social Institution-Governmental Organization",16,162,,23,84,-1,"CC1_info_needs_EMDECLA",
"OCHA/UNEP","",15,152,1521,23,85,-1,"CC1_info_needs_EMDECLA",
"Bomberos Quito","",18,,,21,86,-1,"CC1_info_needs_EMDECLA","1"
"SECRETARIA DE GESTION DE RIESGOS","",18,183,1831,21,87,-1,"CC1_info_needs_EMDECLA","1"
"Civile protection","",18,183,1831,21,88,-1,"CC1_info_needs_EMDECLA","0"
"UNITAR/UNOSAT","",15,152,1522,23,89,-1,"CC1_info_needs_EMDECLA",
"Civil protection Belgium","",15,153,,21,90,-1,"CC1_info_needs_EMDECLA","0"
"ARC (AFETTE REHBER CEV_RMENL_K-EMERGENCY AND DISASTER INTERPRETERS), TURKEY","",16,162,1621,21,91,-1,"CC1_info_needs_EMDECLA","1"
"SDC (GIAR)","",11,112,1121,23,92,-1,"CC1_info_needs_EMDECLA",
"UNV UNHCR, UNOCHA","",15,152,1522,23,93,-1,"CC1_info_needs_EMDECLA",
"UK ISAR","",18,183,1831,21,94,-1,"CC1_info_needs_EMDECLA","1"
"New Zealand Ministry of Health","",18,183,1831,23,95,-1,"CC1_info_needs_EMDECLA",
"Queensland Fire and Emergency Services","Government Organization - Non Military",18,182,1821,23,96,-1,"CC1_info_needs_EMDECLA",
"Ministry of Emergency Situations of Azerbaijan","",18,183,1831,21,97,-1,"CC1_info_needs_EMDECLA","1"
"POMPIERS de l'URGENCE INTERNATIONALE","",16,162,1621,21,98,-1,"CC1_info_needs_EMDECLA","1"
"West Africa network for Peacebuilding (WANEP) Nigeria","",16,162,1621,22,99,-1,"CC1_info_needs_EMDECLA",
"Team Rubicon UK","",16,162,1621,21,100,-1,"CC1_info_needs_EMDECLA","0"
"MapAction","INGO involved in information management",16,162,1622,23,101,-1,"CC1_info_needs_EMDECLA",
"Not Defined","",13,,,23,102,-1,"CC1_info_needs_EMDECLA",
"UNICEF","UNITED NATIONS AGENCY, WASH Cluster , WASH Cluster coordination",15,152,1522,23,103,-1,"CC1_info_needs_EMDECLA",
"Humanity Road","",16,162,1621,23,104,-1,"CC1_info_needs_EMDECLA",
"UNEP","",15,152,1521,23,105,-1,"CC1_info_needs_EMDECLA",
"Not Defined","",16,162,1621,21,106,-1,"CC1_info_needs_EMDECLA","1"
"United Nations Population Fund","United Nations Organizations",15,152,1523,23,107,-1,"CC1_info_needs_EMDECLA",
"IFRC","",15,151,1512,21,108,-1,"CC1_info_needs_EMDECLA","1"
"ATHENA CONSEIL","LEGAL , HR ADVICE AND COACHING",12,121,,21,109,-1,"CC1_info_needs_EMDECLA","0"
"Disaster Management Department-Tanzania","",18,183,1831,23,110,-1,"CC1_info_needs_EMDECLA",
"US Department of State - Humanitarian Information Unit","",11,112,1121,23,111,-1,"CC1_info_needs_EMDECLA",
"Not Defined","",,,,23,112,-1,"CC1_info_needs_EMDECLA",
"DPDHL - Go Help Disaster Response Team","",12,121,,23,113,-1,"CC1_info_needs_EMDECLA",
"Not Defined","",15,153,,23,114,-1,"CC1_info_needs_EMDECLA",
"WFP","",15,152,1522,21,1,-1,"CC1_info_needs_LOCDIS","1"
"THW Germany","",18,183,1834,21,9,-1,"CC1_info_needs_LOCDIS","1"
"WFP","",15,152,1522,21,10,-1,"CC1_info_needs_LOCDIS","1"
"OCHA","",15,152,1521,21,15,-1,"CC1_info_needs_LOCDIS","0"
"European Commission Joint Research Centre","",18,182,,22,16,-1,"CC1_info_needs_LOCDIS",
"OCHA","",15,,,21,17,-1,"CC1_info_needs_LOCDIS","1"
"WIPO security","UN agency",15,152,1522,23,18,-1,"CC1_info_needs_LOCDIS",
"Saudi Arabian Civil defense","",11,112,1121,23,19,-1,"CC1_info_needs_LOCDIS",
"Belgian First Aid and Support Team (B-FAST)","",18,183,1832,21,20,-1,"CC1_info_needs_LOCDIS","1"
"Not Defined","Consultant - Disaster Management | Humanitarian Coordination",13,131,1312,23,21,-1,"CC1_info_needs_LOCDIS",
"Netherlands Red Cross","",16,162,1621,21,22,-1,"CC1_info_needs_LOCDIS","1"
"UNDP","",15,152,1522,23,23,-1,"CC1_info_needs_LOCDIS",
"Deutsche Post DHL Group","",12,121,,23,24,-1,"CC1_info_needs_LOCDIS",
"Logistics Cluster/WFP","",15,152,1522,23,25,-1,"CC1_info_needs_LOCDIS",
"Insecurity Insight","We are neither advocacy nor operational. We provide information services to agencies.",16,,,23,26,-1,"CC1_info_needs_LOCDIS",
"Ericsson Response","",12,121,,23,27,-1,"CC1_info_needs_LOCDIS",
"Not Defined","",15,152,1522,22,28,-1,"CC1_info_needs_LOCDIS",
"FAO","",15,152,1522,23,29,-1,"CC1_info_needs_LOCDIS",
"UNDAC","",15,152,1522,22,30,-1,"CC1_info_needs_LOCDIS",
"Google","",12,121,,23,31,-1,"CC1_info_needs_LOCDIS",
"Not Defined","",15,152,1522,23,32,-1,"CC1_info_needs_LOCDIS",
"Not Defined","",12,121,,21,33,-1,"CC1_info_needs_LOCDIS","1"
"Not Defined","",11,112,1121,21,34,-1,"CC1_info_needs_LOCDIS","1"
"OCHA","",15,152,1521,,35,-1,"CC1_info_needs_LOCDIS",
"Independent consultant","I work sometimes for OCHA, sometimes for NGOs in a variety of roles including IM, assessmen, coordination and reporting",13,131,,22,36,-1,"CC1_info_needs_LOCDIS",
"THW","German Agency for Technical Relief",18,183,1831,23,37,-1,"CC1_info_needs_LOCDIS",
"CANADEM","",16,162,1621,21,38,-1,"CC1_info_needs_LOCDIS","1"
"Humanitarian OpenStreetMap Team","",16,162,1623,23,39,-1,"CC1_info_needs_LOCDIS",
"Americas Support Team (Section Leader of team operational)","",11,112,1121,21,40,-1,"CC1_info_needs_LOCDIS","1"
"OCHA FCSS","",15,152,1521,23,41,-1,"CC1_info_needs_LOCDIS",
"UNOCHA","",15,152,1521,23,42,-1,"CC1_info_needs_LOCDIS",
"NATIONAL EMERGENCY MANAGEMENT AGENCY NIGERIA","",18,183,1831,23,43,-1,"CC1_info_needs_LOCDIS",
"French civil protection directorate","",18,183,1831,23,44,-1,"CC1_info_needs_LOCDIS",
"@fire - International Disaster Response","",16,162,1621,23,45,-1,"CC1_info_needs_LOCDIS",
"OCHA","",15,152,1521,23,46,-1,"CC1_info_needs_LOCDIS",
"Cisco Tactical Operations (TacOps)","",12,121,,23,47,-1,"CC1_info_needs_LOCDIS",
"OCHA","",15,152,1521,23,48,-1,"CC1_info_needs_LOCDIS",
"FAO","",15,152,1522,23,49,-1,"CC1_info_needs_LOCDIS",
"NATIONAL DISASTER OPERATION CENTER- KENYA","",18,183,1831,23,50,-1,"CC1_info_needs_LOCDIS",
"Rescue South Africa","",16,162,1621,23,51,-1,"CC1_info_needs_LOCDIS",
"Estonian Rescue Board","governmental organization",18,183,1831,21,52,-1,"CC1_info_needs_LOCDIS","1"
"U.S. Department of Defense","",14,143,1433,23,53,-1,"CC1_info_needs_LOCDIS",
"Qatar Computing Research Institute, Qatar Foundation","Research Institute with Hamad Bin Khalifa University",16,162,1622,23,54,-1,"CC1_info_needs_LOCDIS",
"POMPIERS DE L'URGENCE INTERNATIONALE/INTERNATIONALE EMERGENCY FIREFIGHTERS - FRANCE","",16,162,1622,21,55,-1,"CC1_info_needs_LOCDIS","1"
"UNOCHA","",15,152,1521,23,56,-1,"CC1_info_needs_LOCDIS",
"ocha","",15,152,1521,21,57,-1,"CC1_info_needs_LOCDIS","0"
"OCHA","",15,152,1521,23,58,-1,"CC1_info_needs_LOCDIS",
"Defensa Civil - WUSAR","",18,182,1821,23,59,-1,"CC1_info_needs_LOCDIS",
"Bratislavsk‡ kynologick‡ z‡chran‡rska brig‡da ( Bratislava K9 rescue corps )","",16,162,1621,21,60,-1,"CC1_info_needs_LOCDIS","1"
"Not Defined","Independent, member of ASP UNOCHA, NORCAP, CANADEM",13,131,,23,61,-1,"CC1_info_needs_LOCDIS",
"Not Defined","",15,152,1521,21,62,-1,"CC1_info_needs_LOCDIS","1"
"German Federal Agency for Technical Relief","",16,162,1621,23,63,-1,"CC1_info_needs_LOCDIS",
"Department of Disaster Prevention and Mitigation (DDPM Thailand)","Disater Management Center, Government organization",18,183,1831,23,64,-1,"CC1_info_needs_LOCDIS",
"OCHA Rolac","",15,152,1521,23,65,-1,"CC1_info_needs_LOCDIS",
"Nus / ihp","",18,183,1834,22,66,-1,"CC1_info_needs_LOCDIS",
"OCHA","",15,152,1521,23,67,-1,"CC1_info_needs_LOCDIS",
"Kompass Coaching Villa & Co","- Consulting and Coaching for organization working in Disaster Relief/Humanitarian Needs; - Life Coaching",,,,23,68,-1,"CC1_info_needs_LOCDIS",
"CIVIL PROTECTION DIRECTORATE","",18,183,1831,23,69,-1,"CC1_info_needs_LOCDIS",
"@Fire","",,,,21,70,-1,"CC1_info_needs_LOCDIS",
"THW","",15,153,,21,71,-1,"CC1_info_needs_LOCDIS","1"
"New Zealand Fire Service/ NZ USAR","",18,183,1831,21,72,-1,"CC1_info_needs_LOCDIS","1"
"Infinitum Humanitarian Systems (IHS)","",12,121,,23,73,-1,"CC1_info_needs_LOCDIS",
"Hellenic Fire Service","",18,183,1831,21,74,-1,"CC1_info_needs_LOCDIS","0"
"National Earthquake Response Support Service of China","Emergency Management Division",18,183,1831,23,75,-1,"CC1_info_needs_LOCDIS",
"MERCY Malaysia","",16,162,1622,21,76,-1,"CC1_info_needs_LOCDIS","1"
"Amity Public Safety Academy","",16,161,1612,23,77,-1,"CC1_info_needs_LOCDIS",
"Directorate General of the the Lebanese civil defense","",18,183,1831,23,78,-1,"CC1_info_needs_LOCDIS",
"District Development Committee ,Sindhupalchok  Nepal","Govt. of Nepal , Ministry of Federal Affairs and Local Development",18,182,,23,79,-1,"CC1_info_needs_LOCDIS",
"European Commission (ECHO)","",11,112,1122,21,80,-1,"CC1_info_needs_LOCDIS","1"
"MoFA Italy - Agency for Cooperation","",11,112,1121,23,81,-1,"CC1_info_needs_LOCDIS",
"INTERSOS","",16,162,1623,21,82,-1,"CC1_info_needs_LOCDIS","1"
"Ministry of Emergency Situation of the Republic of Azerbaijan","",18,183,1831,21,83,-1,"CC1_info_needs_LOCDIS","1"
"Liberia Refugee Repatriation and resettlement Commission(LRRRC)","Social Institution-Governmental Organization",16,162,,23,84,-1,"CC1_info_needs_LOCDIS",
"OCHA/UNEP","",15,152,1521,23,85,-1,"CC1_info_needs_LOCDIS",
"Bomberos Quito","",18,,,21,86,-1,"CC1_info_needs_LOCDIS","1"
"SECRETARIA DE GESTION DE RIESGOS","",18,183,1831,21,87,-1,"CC1_info_needs_LOCDIS","1"
"Civile protection","",18,183,1831,21,88,-1,"CC1_info_needs_LOCDIS","1"
"UNITAR/UNOSAT","",15,152,1522,23,89,-1,"CC1_info_needs_LOCDIS",
"Civil protection Belgium","",15,153,,21,90,-1,"CC1_info_needs_LOCDIS","1"
"ARC (AFETTE REHBER CEV_RMENL_K-EMERGENCY AND DISASTER INTERPRETERS), TURKEY","",16,162,1621,21,91,-1,"CC1_info_needs_LOCDIS","1"
"SDC (GIAR)","",11,112,1121,23,92,-1,"CC1_info_needs_LOCDIS",
"UNV UNHCR, UNOCHA","",15,152,1522,23,93,-1,"CC1_info_needs_LOCDIS",
"UK ISAR","",18,183,1831,21,94,-1,"CC1_info_needs_LOCDIS","1"
"New Zealand Ministry of Health","",18,183,1831,23,95,-1,"CC1_info_needs_LOCDIS",
"Queensland Fire and Emergency Services","Government Organization - Non Military",18,182,1821,23,96,-1,"CC1_info_needs_LOCDIS",
"Ministry of Emergency Situations of Azerbaijan","",18,183,1831,21,97,-1,"CC1_info_needs_LOCDIS","1"
"POMPIERS de l'URGENCE INTERNATIONALE","",16,162,1621,21,98,-1,"CC1_info_needs_LOCDIS","1"
"West Africa network for Peacebuilding (WANEP) Nigeria","",16,162,1621,22,99,-1,"CC1_info_needs_LOCDIS",
"Team Rubicon UK","",16,162,1621,21,100,-1,"CC1_info_needs_LOCDIS","0"
"MapAction","INGO involved in information management",16,162,1622,23,101,-1,"CC1_info_needs_LOCDIS",
"Not Defined","",13,,,23,102,-1,"CC1_info_needs_LOCDIS",
"UNICEF","UNITED NATIONS AGENCY, WASH Cluster , WASH Cluster coordination",15,152,1522,23,103,-1,"CC1_info_needs_LOCDIS",
"Humanity Road","",16,162,1621,23,104,-1,"CC1_info_needs_LOCDIS",
"UNEP","",15,152,1521,23,105,-1,"CC1_info_needs_LOCDIS",
"Not Defined","",16,162,1621,21,106,-1,"CC1_info_needs_LOCDIS","1"
"United Nations Population Fund","United Nations Organizations",15,152,1523,23,107,-1,"CC1_info_needs_LOCDIS",
"IFRC","",15,151,1512,21,108,-1,"CC1_info_needs_LOCDIS","1"
"ATHENA CONSEIL","LEGAL , HR ADVICE AND COACHING",12,121,,21,109,-1,"CC1_info_needs_LOCDIS","1"
"Disaster Management Department-Tanzania","",18,183,1831,23,110,-1,"CC1_info_needs_LOCDIS",
"US Department of State - Humanitarian Information Unit","",11,112,1121,23,111,-1,"CC1_info_needs_LOCDIS",
"Not Defined","",,,,23,112,-1,"CC1_info_needs_LOCDIS",
"DPDHL - Go Help Disaster Response Team","",12,121,,23,113,-1,"CC1_info_needs_LOCDIS",
"Not Defined","",15,153,,23,114,-1,"CC1_info_needs_LOCDIS",
"WFP","",15,152,1522,21,1,-1,"CC1_info_needs_SCALEEV","1"
"THW Germany","",18,183,1834,21,9,-1,"CC1_info_needs_SCALEEV","0"
"WFP","",15,152,1522,21,10,-1,"CC1_info_needs_SCALEEV","1"
"OCHA","",15,152,1521,21,15,-1,"CC1_info_needs_SCALEEV","1"
"European Commission Joint Research Centre","",18,182,,22,16,-1,"CC1_info_needs_SCALEEV",
"OCHA","",15,,,21,17,-1,"CC1_info_needs_SCALEEV","1"
"WIPO security","UN agency",15,152,1522,23,18,-1,"CC1_info_needs_SCALEEV",
"Saudi Arabian Civil defense","",11,112,1121,23,19,-1,"CC1_info_needs_SCALEEV",
"Belgian First Aid and Support Team (B-FAST)","",18,183,1832,21,20,-1,"CC1_info_needs_SCALEEV","1"
"Not Defined","Consultant - Disaster Management | Humanitarian Coordination",13,131,1312,23,21,-1,"CC1_info_needs_SCALEEV",
"Netherlands Red Cross","",16,162,1621,21,22,-1,"CC1_info_needs_SCALEEV","1"
"UNDP","",15,152,1522,23,23,-1,"CC1_info_needs_SCALEEV",
"Deutsche Post DHL Group","",12,121,,23,24,-1,"CC1_info_needs_SCALEEV",
"Logistics Cluster/WFP","",15,152,1522,23,25,-1,"CC1_info_needs_SCALEEV",
"Insecurity Insight","We are neither advocacy nor operational. We provide information services to agencies.",16,,,23,26,-1,"CC1_info_needs_SCALEEV",
"Ericsson Response","",12,121,,23,27,-1,"CC1_info_needs_SCALEEV",
"Not Defined","",15,152,1522,22,28,-1,"CC1_info_needs_SCALEEV",
"FAO","",15,152,1522,23,29,-1,"CC1_info_needs_SCALEEV",
"UNDAC","",15,152,1522,22,30,-1,"CC1_info_needs_SCALEEV",
"Google","",12,121,,23,31,-1,"CC1_info_needs_SCALEEV",
"Not Defined","",15,152,1522,23,32,-1,"CC1_info_needs_SCALEEV",
"Not Defined","",12,121,,21,33,-1,"CC1_info_needs_SCALEEV","1"
"Not Defined","",11,112,1121,21,34,-1,"CC1_info_needs_SCALEEV","1"
"OCHA","",15,152,1521,,35,-1,"CC1_info_needs_SCALEEV",
"Independent consultant","I work sometimes for OCHA, sometimes for NGOs in a variety of roles including IM, assessmen, coordination and reporting",13,131,,22,36,-1,"CC1_info_needs_SCALEEV",
"THW","German Agency for Technical Relief",18,183,1831,23,37,-1,"CC1_info_needs_SCALEEV",
"CANADEM","",16,162,1621,21,38,-1,"CC1_info_needs_SCALEEV","1"
"Humanitarian OpenStreetMap Team","",16,162,1623,23,39,-1,"CC1_info_needs_SCALEEV",
"Americas Support Team (Section Leader of team operational)","",11,112,1121,21,40,-1,"CC1_info_needs_SCALEEV","0"
"OCHA FCSS","",15,152,1521,23,41,-1,"CC1_info_needs_SCALEEV",
"UNOCHA","",15,152,1521,23,42,-1,"CC1_info_needs_SCALEEV",
"NATIONAL EMERGENCY MANAGEMENT AGENCY NIGERIA","",18,183,1831,23,43,-1,"CC1_info_needs_SCALEEV",
"French civil protection directorate","",18,183,1831,23,44,-1,"CC1_info_needs_SCALEEV",
"@fire - International Disaster Response","",16,162,1621,23,45,-1,"CC1_info_needs_SCALEEV",
"OCHA","",15,152,1521,23,46,-1,"CC1_info_needs_SCALEEV",
"Cisco Tactical Operations (TacOps)","",12,121,,23,47,-1,"CC1_info_needs_SCALEEV",
"OCHA","",15,152,1521,23,48,-1,"CC1_info_needs_SCALEEV",
"FAO","",15,152,1522,23,49,-1,"CC1_info_needs_SCALEEV",
"NATIONAL DISASTER OPERATION CENTER- KENYA","",18,183,1831,23,50,-1,"CC1_info_needs_SCALEEV",
"Rescue South Africa","",16,162,1621,23,51,-1,"CC1_info_needs_SCALEEV",
"Estonian Rescue Board","governmental organization",18,183,1831,21,52,-1,"CC1_info_needs_SCALEEV","1"
"U.S. Department of Defense","",14,143,1433,23,53,-1,"CC1_info_needs_SCALEEV",
"Qatar Computing Research Institute, Qatar Foundation","Research Institute with Hamad Bin Khalifa University",16,162,1622,23,54,-1,"CC1_info_needs_SCALEEV",
"POMPIERS DE L'URGENCE INTERNATIONALE/INTERNATIONALE EMERGENCY FIREFIGHTERS - FRANCE","",16,162,1622,21,55,-1,"CC1_info_needs_SCALEEV","1"
"UNOCHA","",15,152,1521,23,56,-1,"CC1_info_needs_SCALEEV",
"ocha","",15,152,1521,21,57,-1,"CC1_info_needs_SCALEEV","1"
"OCHA","",15,152,1521,23,58,-1,"CC1_info_needs_SCALEEV",
"Defensa Civil - WUSAR","",18,182,1821,23,59,-1,"CC1_info_needs_SCALEEV",
"Bratislavsk‡ kynologick‡ z‡chran‡rska brig‡da ( Bratislava K9 rescue corps )","",16,162,1621,21,60,-1,"CC1_info_needs_SCALEEV","1"
"Not Defined","Independent, member of ASP UNOCHA, NORCAP, CANADEM",13,131,,23,61,-1,"CC1_info_needs_SCALEEV",
"Not Defined","",15,152,1521,21,62,-1,"CC1_info_needs_SCALEEV","1"
"German Federal Agency for Technical Relief","",16,162,1621,23,63,-1,"CC1_info_needs_SCALEEV",
"Department of Disaster Prevention and Mitigation (DDPM Thailand)","Disater Management Center, Government organization",18,183,1831,23,64,-1,"CC1_info_needs_SCALEEV",
"OCHA Rolac","",15,152,1521,23,65,-1,"CC1_info_needs_SCALEEV",
"Nus / ihp","",18,183,1834,22,66,-1,"CC1_info_needs_SCALEEV",
"OCHA","",15,152,1521,23,67,-1,"CC1_info_needs_SCALEEV",
"Kompass Coaching Villa & Co","- Consulting and Coaching for organization working in Disaster Relief/Humanitarian Needs; - Life Coaching",,,,23,68,-1,"CC1_info_needs_SCALEEV",
"CIVIL PROTECTION DIRECTORATE","",18,183,1831,23,69,-1,"CC1_info_needs_SCALEEV",
"@Fire","",,,,21,70,-1,"CC1_info_needs_SCALEEV",
"THW","",15,153,,21,71,-1,"CC1_info_needs_SCALEEV","1"
"New Zealand Fire Service/ NZ USAR","",18,183,1831,21,72,-1,"CC1_info_needs_SCALEEV","1"
"Infinitum Humanitarian Systems (IHS)","",12,121,,23,73,-1,"CC1_info_needs_SCALEEV",
"Hellenic Fire Service","",18,183,1831,21,74,-1,"CC1_info_needs_SCALEEV","1"
"National Earthquake Response Support Service of China","Emergency Management Division",18,183,1831,23,75,-1,"CC1_info_needs_SCALEEV",
"MERCY Malaysia","",16,162,1622,21,76,-1,"CC1_info_needs_SCALEEV","1"
"Amity Public Safety Academy","",16,161,1612,23,77,-1,"CC1_info_needs_SCALEEV",
"Directorate General of the the Lebanese civil defense","",18,183,1831,23,78,-1,"CC1_info_needs_SCALEEV",
"District Development Committee ,Sindhupalchok  Nepal","Govt. of Nepal , Ministry of Federal Affairs and Local Development",18,182,,23,79,-1,"CC1_info_needs_SCALEEV",
"European Commission (ECHO)","",11,112,1122,21,80,-1,"CC1_info_needs_SCALEEV","1"
"MoFA Italy - Agency for Cooperation","",11,112,1121,23,81,-1,"CC1_info_needs_SCALEEV",
"INTERSOS","",16,162,1623,21,82,-1,"CC1_info_needs_SCALEEV","1"
"Ministry of Emergency Situation of the Republic of Azerbaijan","",18,183,1831,21,83,-1,"CC1_info_needs_SCALEEV","1"
